,textID,text,selected_text,sentiment
0,a3d0a7d5ad,"Spent the entire morning in a meeting w/ a vendor, and my boss was not happy w/ them. Lots of fun.  I had other plans for my morning",my boss was not happy w/ them. Lots of fun.,neutral
2,c9e8d1ef1c,says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj,says good (or should i say bad?) afternoon!,neutral
9,1dcb6fdb13,Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free,Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free,neutral
10,6bff31375d,PRD take a long time to review!,PRD take a long time to review!,neutral
11,e1ed43bebe,"_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !","2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week",neutral
14,0e6fb9153c, ya mine too but for very different reason,ya mine too but for very different reason,neutral
19,1a760553fc,i have perused the #fieldnotes website and it is good.  too bad i must return to work,i have perused the #fieldnotes website and it is good.  too bad i must return to work,neutral
20,1e857fecf5, ....welcome to public transport  X,....welcome to public transport  X,neutral
25,22e66a73af," oh, /me still hasn't got around to starting it","oh, /me still hasn't got around to starting it",neutral
27,7f59b000cd,  what's going on ?,what's going on,neutral
28,127b2ac78c," I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.","I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.",neutral
30,436b24fc93, not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr 'M' shopping place,not sure... there are fanciful expensive ones - but some basic ones are not expensive.,neutral
31,c63298701b,hello thereeeeeee,hello thereeeeeee,neutral
33,2838f92a2b,has just joined the twitter community,has just joined the twitter community,neutral
39,89fc963188,I was rooting for Betty.,I was rooting for Betty.,neutral
42,b63f6f0bf9,Is hungry with a sub,Is hungry with a sub,neutral
44,2d5648ba3c, i see you there,i see you there,neutral
46,791449f114,I can't comment directly to someone...... and I'm here all alone,I can't comment directly to someone...... and I'm here all alone,neutral
50,5498496af0,"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks","after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",neutral
53,556f187ce7," omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London","omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were",neutral
55,384c73b996,It's Raining!,It's Raining!,neutral
61,97bc17f4b4,waiting for my mom to get home,waiting for my mom to get home,neutral
64,dfc5afdab4,UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesssss!,UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesss,neutral
68,021e4d7fd7, See you on may 16!!,See you on may 16!!,neutral
70,f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,neutral
71,196107983d, I'll stop by for a bit when I'm off.  But have to rush to rehearsal - no quiet for me tonight.,I'll stop by for a bit when I'm off.  But have to rush to rehearsal - no quiet for me tonight.,neutral
72,2f2542a3c2,"Whoa, I didn't mean to sleep for more than an hour","Whoa, I didn't mean to sleep for more than an hour",neutral
74,5ac1a82457, Is the Bee to Busy to talk to his buddy on Yahoo?,Is the Bee to Busy to talk to his buddy on Yahoo?,neutral
75,aaee08f683,I need followers!!!,I need followers!!!,neutral
76,ba5468c0c3,Im on my way to brookings,Im on my way to brookings,neutral
77,269e7185cb,_44 Thanks!! It was a bit out of my comfort zone but it was fun,_44 Thanks!! It was a bit out of my comfort zone but it was fun,neutral
79,ba8aa5e888,is watching the canucks,is watching the canucks,neutral
81,dfeadc340d,"blerg, **** you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost","blerg, **** you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost",neutral
83,b2fed31eb7,gprof problem on Mac  why ??,gprof problem on Mac  why ??,neutral
86,b2986c944a,"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...","done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",neutral
90,eaa0b85855,Yay for St Louis traffic,Yay for St Louis traffic,neutral
91,ab56747ae1, I have to pee.,I have to pee.,neutral
92,b57188597f,  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love that dog,hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love th,neutral
94,f20fecf55e, i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;goddess people?&quot;,i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;god,neutral
95,f6ca88db6f, http://twitpic.com/66r0u - uh wait...i thought this was the 29th...tonight,uh wait...i thought this was the 29th...tonight,neutral
98,2ef8bef8cf,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; finding nemo,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; findi,neutral
99,aa4412f02c," hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.","hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.",neutral
101,ed6d15f0c3, u drink mor than all th #g1freaks put togetha!,u drink mor than all th #g1freaks put togetha!,neutral
103,b5e14936e1,1st day of work today was a bit tiring but ok lol now onto college work,1st day of work today was a bit tiring but ok lol now onto college work,neutral
105,7e4adc5a15,does anybody want to throw a baseball around with me?,does anybody want to throw a baseball around with me?,neutral
108,50f5c4bba5,upgraded,upgraded,neutral
110,d5ebca68b1,Done with my drew and jayk handmade gifts now watching old menudo vids,Done with my drew and jayk handmade gifts now watching old menudo vids,neutral
111,5b09b3204e, Whaat? That would seem to be a very powerful spell. Kind of tips the scale in their favor.,Whaat? That would seem to be a very powerful spell. Kind of tips the scale in their favor.,neutral
113,6c923b5e6a, and  there is no top 40 radio station in fresno!,and  there is no top 40 radio station in fresno!,neutral
117,981a241496,oh man had great nap (still alittle tired) having pizza for dinner.,oh man had great nap (still alittle tired) having pizza for dinner.,neutral
119,d6a71d9781,"JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol","JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol",neutral
120,42f8cedeeb,Photo: novusnovendo: EYECANDY + LIVE = like a ****! only he keeps his clothes on  BUT he can take them... http://tumblr.com/x2k1wga72,only he keeps his clothes on  BUT he can take them.,neutral
121,ffd9503b5c,starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,neutral
124,627b9f89a8,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,neutral
125,5b236a3218,says she wants to be w/ marykay @ sendai right now,says she wants to be w/ marykay @ sendai right now,neutral
130,1f691878d1,I'm drawning in emails,I'm drawning in emails,neutral
132,dd2a3bd5b8, I am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,neutral
134,3daf2c8f94,"Well, I made the list look better, but I can't do anything about the number pictures, since I already closed that tab.","Well, I made the list look better, but I can't do anything about the number pictures, since I already closed that tab.",neutral
135,2460ff68a8,bbq party,bbq party,neutral
