,frequency,presence,idf,tf-idf
i do nt like,17,1.0,9.267063775017041,157.5400841752897
i do nt think,16,1.0,9.267063775017041,148.27302040027266
do nt want to,14,1.0,9.267063775017041,129.73889285023859
sorry to hear that,12,1.0,9.267063775017041,111.20476530020449
do nt think i,11,1.0,9.267063775017041,101.93770152518745
i do nt know,9,1.0,9.267063775017041,83.40357397515336
i do nt want,9,1.0,9.267063775017041,83.40357397515336
i do nt feel,9,2.0,8.861598666908876,79.75438800217988
i m going to,8,1.0,9.267063775017041,74.13651020013633
i m so sorry,8,1.0,9.267063775017041,74.13651020013633
i m so tired,7,1.0,9.267063775017041,64.86944642511929
i m gon na,7,1.0,9.267063775017041,64.86944642511929
do nt feel good,7,1.0,9.267063775017041,64.86944642511929
wo nt let me,7,1.0,9.267063775017041,64.86944642511929
i miss you too,6,1.0,9.267063775017041,55.60238265010224
do nt wan na,6,1.0,9.267063775017041,55.60238265010224
i wish i had,6,1.0,9.267063775017041,55.60238265010224
i do nt have,5,1.0,9.267063775017041,46.33531887508521
i m so sad,5,1.0,9.267063775017041,46.33531887508521
i am going to,5,1.0,9.267063775017041,46.33531887508521
i feel like i,5,1.0,9.267063775017041,46.33531887508521
i hate i hate,5,1.0,9.267063775017041,46.33531887508521
not having a good,5,1.0,9.267063775017041,46.33531887508521
nt want to go,5,3.0,8.573916594457096,42.86958297228548
having a good day,5,1.0,9.267063775017041,46.33531887508521
i do nt wan,5,1.0,9.267063775017041,46.33531887508521
i have nothing to,4,1.0,9.267063775017041,37.068255100068164
i ca nt even,4,2.0,8.861598666908876,35.4463946676355
i think i m,4,1.0,9.267063775017041,37.068255100068164
i ca nt do,4,1.0,9.267063775017041,37.068255100068164
does nt want to,4,1.0,9.267063775017041,37.068255100068164
do nt know if,4,1.0,9.267063775017041,37.068255100068164
do nt know what,4,1.0,9.267063775017041,37.068255100068164
i hate being sick,4,1.0,9.267063775017041,37.068255100068164
i m stuck in,4,1.0,9.267063775017041,37.068255100068164
i wish i could,4,1.0,9.267063775017041,37.068255100068164
i am so sorry,4,1.0,9.267063775017041,37.068255100068164
not looking forward to,4,1.0,9.267063775017041,37.068255100068164
not in the mood,4,4.0,8.350773043142887,33.40309217257155
it s not the,4,1.0,9.267063775017041,37.068255100068164
do nt like it,4,1.0,9.267063775017041,37.068255100068164
ca nt seem to,4,1.0,9.267063775017041,37.068255100068164
but i ca nt,4,1.0,9.267063775017041,37.068255100068164
not going to be,4,1.0,9.267063775017041,37.068255100068164
i ca nt sleep,4,1.0,9.267063775017041,37.068255100068164
i dont want to,4,1.0,9.267063775017041,37.068255100068164
so sorry to hear,4,1.0,9.267063775017041,37.068255100068164
hate i hate i,4,1.0,9.267063775017041,37.068255100068164
know what to do,3,1.0,9.267063775017041,27.80119132505112
i m so mad,3,2.0,8.861598666908876,26.584796000726627
i m such a,3,1.0,9.267063775017041,27.80119132505112
m gon na miss,3,1.0,9.267063775017041,27.80119132505112
i did nt get,3,1.0,9.267063775017041,27.80119132505112
ca nt find it,3,1.0,9.267063775017041,27.80119132505112
i ca nt go,3,1.0,9.267063775017041,27.80119132505112
will go with me,3,2.0,8.861598666908876,26.584796000726627
