,Unnamed: 0,textID,text,selected_text,sentiment
0,1,251b6a6766, Oh! Good idea about putting them on ice cream,good,positive
1,4,bf7473b12d, haha better drunken tweeting you mean?,better,positive
2,6,2ab82634d5,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,had an awsome salad,positive
3,7,a5a1c996c0, fine! Going to do my big walk today 20 or so miles,fine,positive
4,8,a182b2638e, Thank a yoou  how are you? #TwitterTakeover,thank,positive
5,13,bc0f2cb758,Have just bought a TV tuner for my laptop.  He he.  I deserve a present,have just bought a tv tuner for my laptop he he i deserve a present,positive
6,23,22744e80f7,"12:46AM. HAppy birthday little sister of mine. Also, good night Priscilla",happy birthday little sister of mine,positive
7,24,e487233140, aaawww  no worries fresh start to work on growing it out again,aaww no worries,positive
8,26,01cfa3807e,is sooo tired and too busy to tweet  im glad the weekend is here... yay 4 day-weekend,glad,positive
9,29,a6c77ff610,Just watched &quot;Marley &amp; Me.&quot; Cute movie. Going to watch &quot;Twilight&quot; soon!  Love it!,mp me,positive
10,32,4ce78f6e92, oh he is so cute... is he in uniteddogs.com? Poppy is there,cute,positive
11,34,9dd2edd0fd,"i'm actually starting to quite like lily allen and her music, to be honest.",o quite like lily allen and her music to be honest,positive
12,37,daadcab8af,I'm sooo HAPPY Demi's back on twitter!,i m soo happy de,positive
13,40,ebe46589f3, That would be most welcome,that would be most welcome,positive
14,41,7f0c862bad,Why do weddings on TV make me cry? Is it just my inner desire to be eternally happy and start the rest of my life??,happy,positive
15,47,4f26fc0981," aw, that's cute",aw that s cute,positive
16,49,fe98872319, I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,so good glad you finally got to see them,positive
17,51,d11234ed68,Heading to the U of Utah hospital. Have a great day everyone,have a great day everyone,positive
18,54,0bc6d79c40,Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*,today seems like it should be a good day,positive
19,62,0338930089,so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha,love,positive
20,67,3d37d0aa09, sounds like you've had a nice weekend lady!,nice,positive
21,69,4ffb09c454,"_hall no  i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.",hall no i was gutted when he was nt lmao i think i m obsessed with him bahaha,positive
22,80,b4d9e63784, Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold,good person,positive
23,82,f4f97d8289,In children's hospital ER hoping Meredith does NOT have a broken elbow/arm,hoping,positive
24,84,6903cb08f2, Nice to see you tweeting!  It's Sunday 10th May and we're celebrating Mother's Day here today. So be nice to yer Mom,e nice,positive
25,85,7a0f49dddd, Yay! You finally get to have a trip away from home again! How exciting! You 2 going to shop a bit ?,how exciting,positive
26,87,653cf8e5a6,just got home from a partyyyy. had a good time. can't wait for my birthday in 7 days!,had a good time,positive
27,88,514174445d,Goodnight Beautiful world  sweet dreams. olive juice!,goodnight beautiful world sweet dreams olive juice,positive
28,89,88c05add09,_Gamefan Thanks  I love &quot;Misery Business&quot;; Paramore is such a great band!,love,positive
29,93,7e4579c8f9, awesome! I am at 1505 west lake street: right across from the dunn brothers on lake,awesome,positive
30,97,b084bce92a,"Great meeting...lunch on the patio in the sunshine...nothing more perfect  busy day...time for bed, ahhhhh",great meeting,positive
31,104,3491ed5249," Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",cute,positive
32,106,80b2ebd8dc, HAHAH you know you loved the hannah montana movie  it was aweesome,it was aweesome,positive
33,107,7c1d73feef, And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!,blessings and jo,positive
34,109,478c432e8b, I'm glad you liked it   Want more?,glad,positive
35,114,39b506870b, In two months i will have something of the kinf of prom  and i'm really excited! and you haven't any contact to her?,d i m really excited,positive
36,126,f170a8c485,Awesome beer pong party at my house in the yard tonight  going in when the sun is rising is officially B.A.,awesome,positive
37,127,41e35b7e5a, i love electro house,i love electro house,positive
38,128,f4f43f2e83,possessed beyond certainty that she has made the rite decision,she has made the rite decision,positive
39,133,b3aa6f64d8, lol yep  tell rhonda i said happy mother's day!,d happy mother s day,positive
40,141,3bfa1312fb,*yaaaawwwwnnnn* thx to bank holiday... let's see what today has prepared for us...,thx to,positive
41,143,c1b915d1d5," haha im jewish, i love that one",love,positive
42,147,ce6e842b55,_Dude Very nice. Good night,very nice,positive
43,149,45b0430eb9,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,best,positive
44,150,595685ba72,"Right! Into action! Grab a shower, grab my camera and, I think, a walk in the sunshine along the canal. Later, good tweeple",good,positive
45,153,32ed03e46d,Eating a dillybar from DQ! Yuuum,yuum,positive
46,154,aa0b50384c,Just got home. :3 Was pleased with Star Trek.,was pleased with star trek,positive
47,157,ac2ec1e085,  Hope you have a better weekend then..,hope you have a better weekend then,positive
