,frequency,presence,idf,tf-idf
happy mother s day,111,1.0,9.364391601158275,1039.4474677285684
mother s day to,29,1.0,9.364391601158275,271.56735643358996
happy mothers day to,24,1.0,9.364391601158275,224.7453984277986
happy star wars day,20,1.0,9.364391601158275,187.2878320231655
s day to all,20,1.0,9.364391601158275,187.2878320231655
mothers day to all,19,1.0,9.364391601158275,177.92344042200722
day to all the,19,1.0,9.364391601158275,177.92344042200722
hope you have a,12,1.0,9.364391601158275,112.3726992138993
ca nt wait to,10,1.0,9.364391601158275,93.64391601158275
have a great day,8,1.0,9.364391601158275,74.9151328092662
had a great time,7,1.0,9.364391601158275,65.55074120810792
may the be with,7,1.0,9.364391601158275,65.55074120810792
the be with you,6,1.0,9.364391601158275,56.18634960694965
you have a great,6,2.0,8.958926493050111,53.753558958300665
day to all you,6,1.0,9.364391601158275,56.18634960694965
i ca nt wait,6,1.0,9.364391601158275,56.18634960694965
a happy mother s,6,1.0,9.364391601158275,56.18634960694965
thanks for the follow,6,1.0,9.364391601158275,56.18634960694965
star wars day everyone,5,1.0,9.364391601158275,46.82195800579137
one of my favorite,5,1.0,9.364391601158275,46.82195800579137
have a good day,5,1.0,9.364391601158275,46.82195800579137
thank you so much,5,1.0,9.364391601158275,46.82195800579137
hope you feel better,5,1.0,9.364391601158275,46.82195800579137
i wish i was,5,1.0,9.364391601158275,46.82195800579137
day to your mom,5,1.0,9.364391601158275,46.82195800579137
i m so happy,5,29.0,6.656341400056065,33.28170700028033
ca nt wait for,5,1.0,9.364391601158275,46.82195800579137
i wish i could,5,1.0,9.364391601158275,46.82195800579137
have a nice day,5,19.0,7.061806508164229,35.30903254082114
thank you very much,4,1.0,9.364391601158275,37.4575664046331
cant wait to see,4,1.0,9.364391601158275,37.4575664046331
you re having a,4,1.0,9.364391601158275,37.4575664046331
hope you re having,4,1.0,9.364391601158275,37.4575664046331
day to all mothers,4,6.0,8.111628632662907,32.446514530651626
i love my mom,4,1.0,9.364391601158275,37.4575664046331
i m so excited,4,1.0,9.364391601158275,37.4575664046331
may the fourth be,4,1.0,9.364391601158275,37.4575664046331
so we do nt,4,1.0,9.364391601158275,37.4575664046331
nt wait to see,4,1.0,9.364391601158275,37.4575664046331
i would love to,4,1.0,9.364391601158275,37.4575664046331
had so much fun,4,1.0,9.364391601158275,37.4575664046331
fourth be with you,4,1.0,9.364391601158275,37.4575664046331
happy mother s dayy,4,3.0,8.67124442059833,34.68497768239332
to go to the,4,1.0,9.364391601158275,37.4575664046331
so lucky to have,4,1.0,9.364391601158275,37.4575664046331
the fourth be with,4,1.0,9.364391601158275,37.4575664046331
s day to your,4,1.0,9.364391601158275,37.4575664046331
i hope you feel,4,1.0,9.364391601158275,37.4575664046331
day to all your,4,3.0,8.67124442059833,34.68497768239332
should be a good,3,1.0,9.364391601158275,28.093174803474824
you feel better soon,3,1.0,9.364391601158275,28.093174803474824
happy momma s day,3,1.0,9.364391601158275,28.093174803474824
good to see you,3,1.0,9.364391601158275,28.093174803474824
i wish i had,3,1.0,9.364391601158275,28.093174803474824
the mothers out there,3,1.0,9.364391601158275,28.093174803474824
wish i was in,3,1.0,9.364391601158275,28.093174803474824
i love you guys,3,1.0,9.364391601158275,28.093174803474824
wait to see you,3,1.0,9.364391601158275,28.093174803474824
i really wish i,3,1.0,9.364391601158275,28.093174803474824
be a good day,3,1.0,9.364391601158275,28.093174803474824
all the mom s,3,1.0,9.364391601158275,28.093174803474824
you are such a,3,1.0,9.364391601158275,28.093174803474824
to all the mom,3,1.0,9.364391601158275,28.093174803474824
you have a good,3,1.0,9.364391601158275,28.093174803474824
happy birthday to me,3,1.0,9.364391601158275,28.093174803474824
could nt ask for,3,1.0,9.364391601158275,28.093174803474824
nice to see you,3,1.0,9.364391601158275,28.093174803474824
happy mother day to,3,1.0,9.364391601158275,28.093174803474824
the rest of the,3,1.0,9.364391601158275,28.093174803474824
hope you had a,3,1.0,9.364391601158275,28.093174803474824
i m gon na,3,1.0,9.364391601158275,28.093174803474824
mother s day and,3,6.0,8.111628632662907,24.33488589798872
i d love to,3,1.0,9.364391601158275,28.093174803474824
to all the mothers,3,1.0,9.364391601158275,28.093174803474824
to you as well,3,1.0,9.364391601158275,28.093174803474824
it s going to,3,1.0,9.364391601158275,28.093174803474824
had a great night,3,1.0,9.364391601158275,28.093174803474824
i cant wait to,3,1.0,9.364391601158275,28.093174803474824
i ca nt be,3,1.0,9.364391601158275,28.093174803474824
wish i was there,3,2.0,8.958926493050111,26.876779479150333
star wars day may,3,1.0,9.364391601158275,28.093174803474824
s day to you,3,1.0,9.364391601158275,28.093174803474824
have a good one,3,1.0,9.364391601158275,28.093174803474824
thank you for the,3,1.0,9.364391601158275,28.093174803474824
thanks for all the,3,1.0,9.364391601158275,28.093174803474824
that s why i,3,1.0,9.364391601158275,28.093174803474824
love you so much,3,1.0,9.364391601158275,28.093174803474824
wars day may the,3,1.0,9.364391601158275,28.093174803474824
with a glass of,3,1.0,9.364391601158275,28.093174803474824
and happy mothers day,3,1.0,9.364391601158275,28.093174803474824
