,negative,neutral,positive
0,0,1,0
1,0,0,1
2,0,1,0
3,1,0,0
4,0,0,1
5,1,0,0
6,0,0,1
7,0,0,1
8,0,0,1
9,0,1,0
10,0,1,0
11,0,1,0
12,1,0,0
13,0,0,1
14,0,1,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,0,1,0
20,0,1,0
21,1,0,0
22,1,0,0
23,0,0,1
24,0,0,1
25,0,1,0
26,0,0,1
27,0,1,0
28,0,1,0
29,0,0,1
30,0,1,0
31,0,1,0
32,0,0,1
33,0,1,0
34,0,0,1
35,1,0,0
36,1,0,0
37,0,0,1
38,1,0,0
39,0,1,0
40,0,0,1
41,0,0,1
42,0,1,0
43,1,0,0
44,0,1,0
45,1,0,0
46,0,1,0
47,0,0,1
48,1,0,0
49,0,0,1
50,0,1,0
51,0,0,1
52,1,0,0
53,0,1,0
54,0,0,1
55,0,1,0
56,1,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,0,1,0
62,0,0,1
63,1,0,0
64,0,1,0
65,1,0,0
66,1,0,0
67,0,0,1
68,0,1,0
69,0,0,1
70,0,1,0
71,0,1,0
72,0,1,0
73,1,0,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,1,0,0
79,0,1,0
80,0,0,1
81,0,1,0
82,0,0,1
83,0,1,0
84,0,0,1
85,0,0,1
86,0,1,0
87,0,0,1
88,0,0,1
89,0,0,1
90,0,1,0
91,0,1,0
92,0,1,0
93,0,0,1
94,0,1,0
95,0,1,0
96,1,0,0
97,0,0,1
98,0,1,0
99,0,1,0
100,1,0,0
101,0,1,0
102,1,0,0
103,0,1,0
104,0,0,1
105,0,1,0
106,0,0,1
107,0,0,1
108,0,1,0
109,0,0,1
110,0,1,0
111,0,1,0
112,1,0,0
113,0,1,0
114,0,0,1
115,1,0,0
116,1,0,0
117,0,1,0
118,1,0,0
119,0,1,0
120,0,1,0
121,0,1,0
122,1,0,0
123,1,0,0
124,0,1,0
125,0,1,0
126,0,0,1
127,0,0,1
128,0,0,1
129,1,0,0
130,0,1,0
131,1,0,0
132,0,1,0
133,0,0,1
134,0,1,0
135,0,1,0
136,1,0,0
137,0,1,0
138,0,1,0
139,0,1,0
140,0,1,0
141,0,0,1
142,1,0,0
143,0,0,1
144,0,1,0
145,1,0,0
146,1,0,0
147,0,0,1
148,1,0,0
149,0,0,1
150,0,0,1
151,0,1,0
152,0,1,0
153,0,0,1
154,0,0,1
155,0,1,0
156,1,0,0
157,0,0,1
158,0,0,1
159,0,1,0
160,0,0,1
161,0,1,0
162,1,0,0
163,0,0,1
164,0,0,1
165,0,1,0
166,0,1,0
167,0,0,1
168,0,1,0
169,0,0,1
170,0,1,0
171,0,0,1
172,0,1,0
173,0,1,0
174,0,1,0
175,0,1,0
176,1,0,0
177,0,1,0
178,0,1,0
179,0,0,1
180,0,1,0
181,0,1,0
182,1,0,0
183,0,0,1
184,0,0,1
185,0,1,0
186,0,1,0
187,0,1,0
188,0,0,1
189,0,0,1
190,0,1,0
191,0,1,0
192,0,0,1
193,1,0,0
194,0,0,1
195,1,0,0
196,1,0,0
197,1,0,0
198,1,0,0
199,0,0,1
200,0,0,1
201,0,1,0
202,1,0,0
203,1,0,0
204,0,1,0
205,0,1,0
206,0,1,0
207,1,0,0
208,0,1,0
209,0,1,0
210,0,1,0
211,1,0,0
212,0,0,1
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,1,0,0
218,1,0,0
219,0,1,0
220,0,1,0
221,1,0,0
222,0,0,1
223,0,0,1
224,0,1,0
225,0,0,1
226,0,1,0
227,0,0,1
228,0,0,1
229,0,0,1
230,0,0,1
231,1,0,0
232,1,0,0
233,0,0,1
234,0,0,1
235,1,0,0
236,0,0,1
237,0,1,0
238,0,0,1
239,1,0,0
240,0,1,0
241,0,1,0
242,1,0,0
243,1,0,0
244,0,1,0
245,0,1,0
246,1,0,0
247,0,1,0
248,0,0,1
249,0,0,1
250,0,1,0
251,0,1,0
252,0,0,1
253,0,1,0
254,0,0,1
255,1,0,0
256,1,0,0
257,1,0,0
258,0,1,0
259,0,1,0
260,1,0,0
261,0,1,0
262,1,0,0
263,0,1,0
264,0,0,1
265,0,1,0
266,0,0,1
267,0,1,0
268,0,1,0
269,0,0,1
270,0,1,0
271,0,0,1
272,0,0,1
273,0,0,1
274,0,0,1
275,0,0,1
276,0,0,1
277,0,0,1
278,0,1,0
279,0,0,1
280,0,1,0
281,1,0,0
282,1,0,0
283,1,0,0
284,0,1,0
285,0,1,0
286,0,1,0
287,1,0,0
288,0,0,1
289,0,1,0
290,0,1,0
291,0,0,1
292,0,1,0
293,1,0,0
294,1,0,0
295,1,0,0
296,0,1,0
297,1,0,0
298,0,0,1
299,0,1,0
300,0,1,0
301,0,0,1
302,0,0,1
303,1,0,0
304,0,1,0
305,1,0,0
306,0,0,1
307,0,1,0
308,0,1,0
309,0,1,0
310,1,0,0
311,0,0,1
312,0,0,1
313,1,0,0
314,0,1,0
315,1,0,0
316,0,0,1
317,1,0,0
318,0,0,1
319,1,0,0
320,0,0,1
321,1,0,0
322,0,1,0
323,0,0,1
324,0,0,1
325,0,0,1
326,0,0,1
327,0,1,0
328,1,0,0
329,0,1,0
330,0,0,1
331,0,1,0
332,1,0,0
333,0,1,0
334,0,1,0
335,0,0,1
336,0,1,0
337,0,1,0
338,0,1,0
339,0,1,0
340,0,1,0
341,0,1,0
342,1,0,0
343,0,1,0
344,0,1,0
345,1,0,0
346,0,0,1
347,0,0,1
348,1,0,0
349,0,0,1
350,0,1,0
351,1,0,0
352,0,0,1
353,1,0,0
354,1,0,0
355,0,1,0
356,0,1,0
357,0,1,0
358,1,0,0
359,1,0,0
360,1,0,0
361,0,1,0
362,0,1,0
363,0,1,0
364,0,1,0
365,1,0,0
366,0,0,1
367,0,1,0
368,0,1,0
369,0,0,1
370,1,0,0
371,0,1,0
372,0,1,0
373,0,0,1
374,0,1,0
375,0,1,0
376,0,0,1
377,0,1,0
378,1,0,0
379,0,1,0
380,0,1,0
381,0,0,1
382,1,0,0
383,1,0,0
384,0,1,0
385,0,1,0
386,0,1,0
387,0,1,0
388,1,0,0
389,0,1,0
390,1,0,0
391,0,1,0
392,0,1,0
393,0,0,1
394,0,0,1
395,0,1,0
396,1,0,0
397,1,0,0
398,0,1,0
399,0,1,0
400,0,1,0
401,1,0,0
402,0,0,1
403,0,0,1
404,0,1,0
405,0,1,0
406,0,1,0
407,0,1,0
408,0,0,1
409,0,1,0
410,0,1,0
411,0,1,0
412,0,1,0
413,0,1,0
414,0,0,1
415,0,1,0
416,0,0,1
417,0,1,0
418,0,1,0
419,0,0,1
420,0,1,0
421,0,0,1
422,0,0,1
423,0,1,0
424,1,0,0
425,1,0,0
426,1,0,0
427,0,1,0
428,0,1,0
429,0,0,1
430,1,0,0
431,0,1,0
432,1,0,0
433,0,0,1
434,0,1,0
435,0,0,1
436,0,1,0
437,0,1,0
438,1,0,0
439,0,1,0
440,0,0,1
441,1,0,0
442,0,1,0
443,0,1,0
444,0,0,1
445,0,0,1
446,0,1,0
447,0,1,0
448,1,0,0
449,0,1,0
450,0,1,0
451,0,0,1
452,1,0,0
453,0,0,1
454,0,1,0
455,0,1,0
456,1,0,0
457,0,0,1
458,0,1,0
459,1,0,0
460,0,0,1
461,0,1,0
462,0,0,1
463,1,0,0
464,0,0,1
465,1,0,0
466,1,0,0
467,1,0,0
468,0,1,0
469,0,1,0
470,0,1,0
471,1,0,0
472,0,0,1
473,0,1,0
474,1,0,0
475,0,1,0
476,0,1,0
477,0,1,0
478,0,1,0
479,0,1,0
480,0,0,1
481,0,0,1
482,0,0,1
483,1,0,0
484,0,1,0
485,0,1,0
486,0,1,0
487,0,1,0
488,0,0,1
489,1,0,0
490,0,1,0
