,Unnamed: 0,textID,text,selected_text,sentiment
0,3,f14f087215, i dont think you can vote anymore! i tried,i dont think you can vote anymore,negative
1,5,1915bebcb3,headache  wanna see my Julie,headache,negative
2,12,41fd07f670, Miss you my dear,miss you my dear,negative
3,15,49c7c9c6e2,"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",my tummy is not happy boo,negative
4,16,e6f5e9817d, oo noo thats not good,s not good,negative
5,17,fee2d997a9,misses her phone... having no service sucks,having no service sucks,negative
6,18,459fc2a7c8,so i have like no more friends it's kinda sad,no more friends,negative
7,21,22adf200c3,"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",goddamn,negative
8,22,bae5414377, uh oh,uh oh,negative
9,35,d86eaa0487, what Brody how dare u,what brody how dare u,negative
10,36,2756df3899,I feel useless I don't know what to do right now. I'm so bored,useless,negative
11,38,2334cae701,kate is leaving me all by my lonesome,lonesome,negative
12,43,118850b843,I lost a follower  oh well probably one of those mute ones anyway.,lost,negative
13,45,ad6c3de0ae, saying goodbye to something familiar never becomes familiar,never becomes familiar,negative
14,48,95c725edb6,"Just got back in, and I'm absolutely exhausted, have to be up in 5 hours for work",i m absolutely exhausted,negative
15,52,e6dedf3aad,my dog ran awayyy,my dog ran awayy,negative
16,56,e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn,is missing someone,negative
17,57,3440297f8b," S'ok, trying to plot alternatives as we speak *sigh*",sigh,negative
18,58,f09c712326,"Hot ****, I'm at **** Disneyland!",hot,negative
19,59,acdea0cf39,"Just figured out why only strong guys are supposed to put heavy things on top shelves, ouch!",ouch,negative
20,60,675bb05b9d,Im @ the dentist  ....scary people here...,scary,negative
21,63,07836035cd,damm i feel like the song of dead and gone by Travis Garland,damm,negative
22,65,b5167d5a96,Feels like im going to cough up a lung,feels like im going to cough up a lung,negative
23,66,060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",i miss it there,negative
24,73,134b4e3267,In bed after a good last saturday in ec. I'm gonna miss this place but can't wait til summer,in bed after a good last saturday in ec i m gon na miss this place but ca nt wait til summer,negative
25,78,193909d380,"there are many jobs I aspire to, supervisor is not one of them  talk about too much stress for too little pay",stress,negative
26,96,067058825c,"Will this rain ever go away, my puppy is getting cabin fever and she doesn't like going out in the rain",does nt like,negative
27,100,72b1bac82c,Get into me not going. lol at least I didnt get my hopes up,didnt get my hopes up,negative
28,102,95457abcc3,FC is finally up again. it's about time. i hate that this keeps happening,i hate that this keeps happening,negative
29,112,7c9df630ad,twitter is acting weird,acting weird,negative
