,frequency,presence
i do nt,182,1.0
i ca nt,121,2.0
i have to,85,1.0
to go to,82,1.0
i want to,68,1.0
do nt know,63,1.0
i m not,59,1.0
i did nt,59,1.0
i wan na,56,1.0
i think i,54,1.0
do nt have,50,1.0
i have a,49,1.0
i need to,47,1.0
i m going,44,1.0
i wish i,39,1.0
ca nt wait,39,1.0
and i m,38,1.0
m going to,38,2.0
it s not,37,1.0
but i m,35,1.0
going to be,35,1.0
wo nt be,34,1.0
it s a,33,1.0
i ll be,33,1.0
i ve been,33,9.0
gon na be,30,1.0
want to go,30,2.0
i m in,30,1.0
so i can,29,1.0
i m a,28,1.0
mother s day,28,1.0
i m so,27,2.0
go to the,27,1.0
wan na go,27,1.0
how are you,27,1.0
going to the,27,1.0
going to bed,26,1.0
looking forward to,26,6.0
i wo nt,26,1.0
but it s,26,2.0
but i do,26,1.0
i ve got,26,1.0
have to go,26,1.0
a lot of,25,1.0
is going to,25,1.0
wish i could,25,1.0
nt want to,23,1.0
have to wait,23,1.0
just got home,23,1.0
on my way,23,2.0
in the morning,23,1.0
i know i,22,1.0
i have no,22,3.0
what to do,22,1.0
i had to,21,1.0
just woke up,21,1.0
go to bed,21,1.0
do nt want,21,1.0
be able to,21,1.0
you have a,20,1.0
now i m,20,1.0
i m just,20,1.0
ca nt believe,20,1.0
i need a,20,1.0
i m still,19,1.0
i m on,19,1.0
i think it,19,1.0
back to work,19,1.0
gon na go,18,30.0
have to work,18,1.0
do nt think,18,1.0
just got back,18,1.0
m gon na,18,1.0
but i have,18,2.0
to be a,18,3.0
i miss you,18,1.0
i m gon,18,3.0
i have nt,18,1.0
i know it,17,1.0
and i have,17,1.0
nt know what,17,1.0
be with you,17,1.0
one of those,17,1.0
getting ready for,17,1.0
it s the,17,1.0
to go home,17,1.0
you have to,17,1.0
i want a,17,1.0
go back to,16,1.0
i had a,16,26.0
i m sorry,16,1.0
got back from,16,1.0
in the rain,16,1.0
did nt get,16,1.0
i will be,16,1.0
need to get,16,1.0
there s a,16,1.0
was going to,15,1.0
it s time,15,6.0
out of the,15,1.0
going to have,15,1.0
it s raining,15,1.0
just found out,15,1.0
nt wait to,15,2.0
i could nt,15,1.0
i love you,15,1.0
for the weekend,15,1.0
i feel like,15,2.0
to take a,15,1.0
trying to get,15,10.0
now it s,15,1.0
it s been,15,1.0
so i m,14,1.0
i m getting,14,1.0
ca nt go,14,63.0
wish i was,14,1.0
the end of,14,1.0
getting ready to,14,1.0
i m at,14,1.0
off to bed,14,1.0
i got ta,14,1.0
the rest of,14,1.0
i hope you,14,1.0
you re not,14,27.0
i ll have,14,8.0
was gon na,14,2.0
going to see,14,1.0
my way to,14,1.0
to see it,14,1.0
nt have a,14,1.0
know what to,14,1.0
all the time,14,1.0
want to be,13,1.0
and it s,13,1.0
check it out,13,1.0
it was nt,13,5.0
i was nt,13,1.0
are you doing,13,1.0
i got a,13,1.0
to be in,13,1.0
and i do,13,1.0
i ve just,13,3.0
supposed to be,13,1.0
one of my,13,1.0
want to see,13,1.0
happy mothers day,13,1.0
a couple of,13,1.0
you did nt,13,1.0
may the be,13,1.0
for the day,13,1.0
if i can,13,1.0
im going to,13,12.0
out of my,13,1.0
need to go,13,3.0
i just got,13,1.0
i dont have,13,1.0
what are you,13,1.0
wants to go,13,1.0
i was going,13,1.0
get to see,13,1.0
the be with,13,3.0
that s what,13,1.0
ca nt find,13,2.0
wan na see,12,1.0
i dont know,12,1.0
back to sleep,12,1.0
off to work,12,3.0
think i ll,12,1.0
go to work,12,1.0
i only have,12,1.0
i m sure,12,1.0
on the way,12,1.0
i ll do,12,1.0
if you re,12,1.0
it wo nt,12,1.0
wish i had,12,1.0
it does nt,12,1.0
do nt get,12,1.0
got ta go,12,2.0
you do nt,12,1.0
let me know,12,1.0
the way to,12,5.0
ready to go,12,2.0
it s just,12,1.0
ca nt sleep,12,1.0
i was in,12,1.0
in the car,12,1.0
i have the,12,1.0
the sun is,12,1.0
what happened to,12,1.0
ready for work,12,1.0
one of the,12,1.0
to see the,12,1.0
ll have to,12,1.0
the middle of,12,1.0
know how to,12,1.0
i woke up,12,1.0
did nt know,12,3.0
got home from,12,1.0
did you get,11,13.0
there is a,11,1.0
i ll try,11,1.0
it s friday,11,1.0
just have to,11,1.0
you ca nt,11,1.0
i have been,11,1.0
to work tomorrow,11,2.0
i went to,11,1.0
gon na get,11,1.0
i should be,11,1.0
going to get,11,1.0
when i was,11,1.0
now i have,11,1.0
but i ca,11,1.0
that i m,11,2.0
on the phone,11,1.0
you want to,11,1.0
i still have,11,11.0
see star trek,11,1.0
s gon na,11,1.0
gon na miss,11,1.0
to have a,11,1.0
i guess i,11,8.0
i used to,11,2.0
nothing to do,11,1.0
when i m,11,1.0
in the middle,11,1.0
where are you,11,1.0
to get a,11,1.0
have to be,11,1.0
to talk to,11,1.0
you need to,11,2.0
to get my,11,1.0
know it s,11,1.0
i am going,10,1.0
think it s,10,1.0
i ve never,10,1.0
but i am,10,1.0
to see star,10,4.0
off to the,10,1.0
it did nt,10,1.0
that s the,10,21.0
going to watch,10,1.0
the other day,10,1.0
i know but,10,1.0
i m off,10,1.0
i want some,10,1.0
it was a,10,10.0
you wo nt,10,1.0
